7.26c,"['Level 10 left talent: +20 attack damage reduced to +15.', 'Level 20 right talent: +12% spell damage amplification increased to +14%.', 'Reduced movement speed from 300 to 295.', 'Talents:']"
7.26b,"['Level 10 left talent: +25 attack damage reduced to +20.', 'Level 10 right talent: +3 mana regen reduced to +2.5.', 'Level 15 left talent: +100  Resonant Pulse damage reduced to +80.', 'Level 15 right talent: 600  Aether Remnant True Sight radius reduced to 475.', 'Level 20 left talent: -7s  Astral Step charge replenish time reduced to -5.5s.', 'Level 20 right talent: +15% spell damage amplification reduced to +12%.', 'Level 25 left talent: 3s  Dissimilate stun duration reduced to 2.5s.', 'Level 25 right talent: 200%  Astral Step critical damage reduced to 160%.', 'Talents:']"
7.26a,"['Level 10 left talent: +30 attack damage reduced to +25.', 'Talents:']"
7.25,"[""Added  Aghanim's Scepter upgrade for Void Spirit: Replaces  Resonant Pulse's 16 second cooldown with 2 charges that have a 16 second replenish time, and causes the pulse to silence enemies it hits for 2 seconds.""]"
7.24b,['Reduced movement speed from 305 to 300.']
7.24,"[""Added to Captain's Mode.""]"
7.23e,"['Reduced  strength gain from 2.8 to 2.6.', 'Reduced base armor from 0 to -1.', ' Astral Step\nIncreased charge replenish time from 25/20/15 to 30/25/20.\nIncreased mana cost from 80/90/100 to 100 on each level.', 'Increased charge replenish time from 25/20/15 to 30/25/20.', 'Increased mana cost from 80/90/100 to 100 on each level.']"
7.23b,"['Level 15 left talent: +150  Resonant Pulse damage reduced to +100.', 'Reduced  Aether Remnant damage from 90/150/210/270 to 80/130/180/230.', 'Reduced  Dissimilate damage from 140/220/300/380 to 100/180/260/340.', ' Resonant Pulse\nReduced base shield base capacity from 50/100/150/200 to 40/80/120/160.\nReduced damage from 70/130/190/250 to 70/120/170/220.\nIncreased mana cost from 90/100/110/120 to 100/110/120/130.\nIncreased cooldown from 14 to 16.', 'Reduced base shield base capacity from 50/100/150/200 to 40/80/120/160.', 'Reduced damage from 70/130/190/250 to 70/120/170/220.', 'Increased mana cost from 90/100/110/120 to 100/110/120/130.', 'Increased cooldown from 14 to 16.', 'Talents:']"
7.23a,"['Increased  strength gain from 2.5 to 2.8.', ' Astral Step\nReduced cast time from 0.4 to 0.2.\nIncreased max distance from 600/800/1000 to 700/900/1100.', 'Reduced cast time from 0.4 to 0.2.', 'Increased max distance from 600/800/1000 to 700/900/1100.']"
7.23,['Created.']
