7.26c,"['Level 15 right talent changed: +11%  Arcane Curse movement speed slow -> + 20  Arcane Curse damage per second.', 'Level 20 left talent changed: +24  Arcane Curse damage per second -> + 15%  Arcane Curse movement speed slow.', 'Talents:']"
7.26b,"['Level 10 left talent: +25 attack speed reduced to +20.', 'Level 10 right talent: +6 armor reduced to +5.', 'Level 15 right talent: +14%  Arcane Curse movement speed slow reduced to +11%.', 'Level 20 left talent: +30  Arcane Curse damage per second reduced to +24.', 'Level 20 right talent: +125 attack range reduced to +100.', 'Level 25 left talent: +2s  Global Silence duration reduced to +1.5s', 'Level 25 right talent: +20%  Glaives of Wisdom intelligence as damage reduced to +15%.', 'Talents:']"
7.25,"['Level 15 right talent: +12%  Arcane Curse movement speed slow increased to +14%.', ' Intelligence Steal is now part of  Glaives of Wisdom instead of being innate.', 'Talents:']"
7.24,"['Level 15 right talent changed: +120 gold -> +12%  Arcane Curse movement speed slow.', 'Talents:']"
7.23,"['Reduced  agility gain from 3 to 2.4.', 'Reduced attack projectile speed from 1000 to 900.', ' Glaives of Wisdom\nNow steals 1/1/2/3 intelligence for 10/20/30/40 seconds.\nReduced intelligence as damage from 25%/45%/65%/85% to 15%/35%/55%/75%', 'Now steals 1/1/2/3 intelligence for 10/20/30/40 seconds.', 'Reduced intelligence as damage from 25%/45%/65%/85% to 15%/35%/55%/75%', "" Last Word\nNow deals extra damage based on 1.5/2/2.5/3 times the difference between Silencer's and the target's intelligence.\nReduced base damage from 75/150/225/300 to 80/120/160/200."", ""Now deals extra damage based on 1.5/2/2.5/3 times the difference between Silencer's and the target's intelligence."", 'Reduced base damage from 75/150/225/300 to 80/120/160/200.', ""Reworked  Aghanim's Scepter upgrade:\nOld: Causes  Glaives of Wisdom to pierce Spell Immunity and deal 100% more damage against silenced units.\nNew: Turns  Last Word into a 600 radius ground-targeted ability."", 'Old: Causes  Glaives of Wisdom to pierce Spell Immunity and deal 100% more damage against silenced units.', 'New: Turns  Last Word into a 600 radius ground-targeted ability.']"
7.22,['Increased base attack speed from 100 to 115.']
7.21d,['Increased  Glaives of Wisdom intelligence as damage from 25%/40%/55%/70% to 25%/45%/65%/85%']
7.21,"['Level 10 right talent: +5 armor increased to +6.', 'Increased  intelligence gain from 2.5 to 2.9.', 'Reduced movement speed from 295 to 290.', 'Reduced  Last Word cooldown from 28/22/16/10 to 22/18/14/10.', 'Talents:']"
7.20,"['Increased  strength gain from 2.5 to 2.7.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.']"
7.19d,['Reduced  Last Word damage from 120/180/240/300 to 75/150/225/300.']
7.19c,"['Increased  Arcane Curse mana cost from 105/115/125/135 to 125/130/135/140.', 'Reduced  Last Word damage from 150/200/250/300 to 120/180/240/300.', 'Increased  Global Silence mana cost from 250/375/500 to 300/450/600.']"
7.19b,['Increased  Arcane Curse mana cost from 75/95/115/135 to 105/115/125/135.']
7.17,['Increased  Arcane Curse penalty duration from 4 to 5.']
7.16,"['Increased  Arcane Curse damage per second from 14/22/30/38 to 16/24/32/40.', 'Reduced  Last Word cooldown from 30/24/18/12 to 28/22/16/10.']"
7.15,"['Reduced base  intelligence from 27 to 25.', 'Increased base attack damage from 16-30 to 18-32.']"
7.14,"['Level 15 right talent: +90 gold per minute increased to +120.', 'Increased  Glaives of Wisdom intelligence as damage from 15%/30%/45%/60% to 25%/40%/55%/70%.', 'Increased  Global Silence duration from 4/5/6 to 4.5/5.25/6.', 'Talents:']"
7.13b,['Increased base  strength from 17 to 19.']
7.07,"['Level 10: +7  intelligence or +4 armor', 'Level 15: +60 gold per minute or +200 health', 'Level 20: +12% magic resistance or +30 attack speed', 'Level 25: +25%  Arcane Curse movement speed slow or +200 attack range', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', 'Reduced  Glaives of Wisdom intelligence as damage from 35%/50%/65%/80% to 15%/30%/45%/60%.', 'Reworked talents:']"
7.06,"['Increased  strength gain from 2.2 to 2.5.', 'Reduced base health regeneration from 0.25 to 0.', ""Reworked Silencer's  Aghanim's Scepter upgrade.\nNo longer causes  Global Silence to apply  Arcane Curse on enemies.\nNow causes  Glaives of Wisdom to pierce spell immunity and to deal 100% more damage against silenced units."", 'No longer causes  Global Silence to apply  Arcane Curse on enemies.', 'Now causes  Glaives of Wisdom to pierce spell immunity and to deal 100% more damage against silenced units.']"
7.02,"['Level 25 left talent: +20%  Arcane Curse movement speed slow increased to +25%.', 'Talents:']"
7.00,"['Level 10: +7  intelligence or +4 armor', 'Level 15: +60 gold per minute or +200 health', 'Level 20: +12% magic resistance or +30 attack speed', 'Level 25: +20%  Arcane Curse movement speed slow or +200 attack range', 'Added talents:']"
6.88b,['Increased  Arcane Curse damage per second from 14/21/28/35 to 14/22/30/38.']
6.88,['Increased base  agility from 16 to 22.']
6.87,"['Now slows affected enemies by 9%/12%/15%/18%. [?]', 'Reduced base duration from 7 to 6.', 'Increased cooldown from 18/16/14/12 to 20/18/16/14.', ' Arcane Curse\nNow slows affected enemies by 9%/12%/15%/18%. [?]\nReduced base duration from 7 to 6.\nIncreased cooldown from 18/16/14/12 to 20/18/16/14.', ' Last Word no longer slows the target by 14%/16%/18%/20%.', 'Rescaled  Glaives of Wisdom intelligence as damage from 30%/50%/70%/90% to 35%/50%/65%/80%.']"
6.86,['Replaced  Curse of the Silent with  Arcane Curse']
6.85,"[""Fixed  Last Word's initial debuff not being dispellable.""]"
6.84,"['Reduced movement speed from 300 to 295.', ' Last Word\nReduced initial debuff duration from 5 to 4.\nNo longer disarms the target for the silence duration when the initial debuff expires.\nNow slows the target for 14%/16%/18%/20% for the silence duration.\nThe slow is always applied, not only when the initial debuff expires.', 'Reduced initial debuff duration from 5 to 4.', 'No longer disarms the target for the silence duration when the initial debuff expires.', 'Now slows the target for 14%/16%/18%/20% for the silence duration.\nThe slow is always applied, not only when the initial debuff expires.', 'The slow is always applied, not only when the initial debuff expires.']"
6.83,"['Increased  Glaives of Wisdom intelligence as damage from 30%/48%/66%/84% to 30%/50%/70%/90%.', 'Reduced  Last Word cooldown from 36/28/20/12 to 30/24/18/12.', "" Aghanim's Scepter no longer increases  Global Silence duration from 4/5/6 to 5/6/7.""]"
6.82,"['Increased  Glaives of Wisdom intelligence as damage from 30%/45%/60%/75% to 30%/48%/66%/84%.', 'Increased  Global Silence mana cost from 250/350/450 to 250/375/500.']"
6.81,"['Increased  agility gain from 2.1 to 3.', 'Reduced  Curse of the Silent cooldown from 20/18/16/14 to 20/16/12/8.']"
6.80,['Reduced  Global Silence cooldown from 140 to 130.']
6.79,"[' Intelligence Steal is now an innate ability of Silencer, instead of being bound to  Glaives of Wisdom.']"
6.78,"[' Global Silence now affects invulnerable units.', ""Added  Aghanim's Scepter upgrade for Silencer: Causes  Global Silence to apply the current level of  Curse of the Silent on all affected units and increases duration from 4/5/6 to 5/6/7.""]"
6.76c,['Increased  Last Word mana cost from 100 to 115.']
